results for each method are shown as [sense label, confidence score for sense 1, confidence score for sense 2]
1 for sense 1, 2 for sense 2, 0 for the undetermined sense
true-sense	image	text	linear	max	log-reg
1	[2, 0.268309866024, 0.731690133976]	[1, 0.9735, 0.0265]	[1, 0.5219308791206316, 0.47806912087936837]	[1, 0.9735, 0.0265]	[1, 0.86193168693689659, 0.13806831306310338]	
1	[2, 0.478076529476, 0.521923470524]	[0, 0.0, 0.0]	[2, 0.47807652947600005, 0.5219234705239999]	[2, 0.478076529476, 0.521923470524]	[2, 0.37195615404172655, 0.62804384595827345]	
2	[2, 0.471780173612, 0.528219826388]	[0, 0.0, 0.0]	[2, 0.471780173612, 0.528219826388]	[2, 0.471780173612, 0.528219826388]	[2, 0.37064060925129882, 0.62935939074870118]	
2	[2, 0.163636116732, 0.836363883268]	[2, 0.0034, 0.9966]	[2, 0.10600733790733333, 0.8939926620926667]	[2, 0.0034, 0.9966]	[2, 0.078933035305351562, 0.92106696469464844]	
2	[2, 0.152964656475, 0.847035343525]	[0, 0.0, 0.0]	[2, 0.152964656475, 0.847035343525]	[2, 0.152964656475, 0.847035343525]	[2, 0.30686293568552547, 0.69313706431447453]	
2	[2, 0.138385093786, 0.861614906214]	[0, 0.0, 0.0]	[2, 0.138385093786, 0.8616149062139999]	[2, 0.138385093786, 0.861614906214]	[2, 0.30409435108786309, 0.69590564891213691]	
2	[2, 0.376326548785, 0.623673451215]	[0, 0.0, 0.0]	[2, 0.376326548785, 0.623673451215]	[2, 0.376326548785, 0.623673451215]	[2, 0.35094095629543687, 0.64905904370456313]	
2	[2, 0.331654578677, 0.668345421323]	[0, 0.0, 0.0]	[2, 0.331654578677, 0.668345421323]	[2, 0.331654578677, 0.668345421323]	[2, 0.34188854560513671, 0.65811145439486329]	
2	[2, 0.478099754782, 0.521900245218]	[0, 0.0, 0.0]	[2, 0.47809975478200006, 0.5219002452179999]	[2, 0.478099754782, 0.521900245218]	[2, 0.37196101020630312, 0.62803898979369688]	
2	[2, 0.4657771547, 0.5342228453]	[0, 0.0, 0.0]	[2, 0.4657771547, 0.5342228453]	[2, 0.4657771547, 0.5342228453]	[2, 0.36938813814331617, 0.63061186185668383]	
2	[2, 0.441688925515, 0.558311074485]	[0, 0.0, 0.0]	[2, 0.441688925515, 0.558311074485]	[2, 0.441688925515, 0.558311074485]	[2, 0.36438017646113885, 0.63561982353886115]	
1	[2, 0.478099756061, 0.521900243939]	[0, 0.0, 0.0]	[2, 0.478099756061, 0.5219002439389999]	[2, 0.478099756061, 0.521900243939]	[2, 0.37196101047372909, 0.62803898952627091]	
2	[2, 0.478099755266, 0.521900244734]	[0, 0.0, 0.0]	[2, 0.478099755266, 0.521900244734]	[2, 0.478099755266, 0.521900244734]	[2, 0.37196101030750262, 0.62803898969249738]	
1	[2, 0.478102406509, 0.521897593491]	[0, 0.0, 0.0]	[2, 0.478102406509, 0.521897593491]	[2, 0.478102406509, 0.521897593491]	[2, 0.37196156465587249, 0.62803843534412751]	
1	[2, 0.478044238689, 0.521955761311]	[0, 0.0, 0.0]	[2, 0.47804423868900003, 0.521955761311]	[2, 0.478044238689, 0.521955761311]	[2, 0.37194940242440533, 0.62805059757559467]	
1	[2, 0.48877107559, 0.51122892441]	[0, 0.0, 0.0]	[2, 0.48877107558999994, 0.5112289244100001]	[2, 0.48877107559, 0.51122892441]	[2, 0.37419499094754705, 0.62580500905245295]	
2	[2, 0.476376236234, 0.523623763766]	[0, 0.0, 0.0]	[2, 0.47637623623400005, 0.523623763766]	[2, 0.476376236234, 0.523623763766]	[2, 0.37160071107854631, 0.62839928892145369]	
2	[2, 0.478099763378, 0.521900236622]	[0, 0.0, 0.0]	[2, 0.47809976337800003, 0.521900236622]	[2, 0.478099763378, 0.521900236622]	[2, 0.37196101200364007, 0.62803898799635993]	
1	[2, 0.478618693726, 0.521381306274]	[0, 0.0, 0.0]	[2, 0.478618693726, 0.521381306274]	[2, 0.478618693726, 0.521381306274]	[2, 0.37206952156282747, 0.62793047843717253]	
2	[2, 0.264576477674, 0.735423522326]	[0, 0.0, 0.0]	[2, 0.264576477674, 0.735423522326]	[2, 0.264576477674, 0.735423522326]	[2, 0.32851084642538941, 0.67148915357461059]	
1	[1, 0.50060424331, 0.49939575669]	[0, 0.0, 0.0]	[1, 0.50060424331, 0.49939575669]	[1, 0.50060424331, 0.49939575669]	[2, 0.46499789801641189, 0.53500210198358811]	
2	[2, 0.478097507565, 0.521902492435]	[2, 0.0034, 0.9966]	[2, 0.3073729653705702, 0.6926270346294299]	[2, 0.0034, 0.9966]	[2, 0.10197473847308713, 0.89802526152691287]	
1	[2, 0.398395422887, 0.601604577113]	[0, 0.0, 0.0]	[2, 0.398395422887, 0.6016045771130001]	[2, 0.398395422887, 0.601604577113]	[2, 0.35545342241738609, 0.64454657758261391]	
2	[2, 0.490733084095, 0.509266915905]	[2, 0.0034, 0.9966]	[2, 0.3154641678853947, 0.6845358321146053]	[2, 0.0034, 0.9966]	[2, 0.10301508980669472, 0.89698491019330528]	
2	[2, 0.12012653707, 0.87987346293]	[0, 0.0, 0.0]	[2, 0.12012653707, 0.87987346293]	[2, 0.12012653707, 0.87987346293]	[2, 0.30064707230635723, 0.69935292769364277]	
1	[2, 0.478099755266, 0.521900244734]	[1, 0.9735, 0.0265]	[1, 0.6562700187229649, 0.34372998127703513]	[1, 0.9735, 0.0265]	[1, 0.88279832889423848, 0.1172016711057615]	
2	[2, 0.477960172075, 0.522039827925]	[0, 0.0, 0.0]	[2, 0.477960172075, 0.522039827925]	[2, 0.477960172075, 0.522039827925]	[2, 0.37193182533538116, 0.62806817466461884]	
2	[2, 0.105435459699, 0.894564540301]	[0, 0.0, 0.0]	[2, 0.105435459699, 0.894564540301]	[2, 0.105435459699, 0.894564540301]	[2, 0.29788958885347239, 0.70211041114652761]	
2	[2, 0.408304969025, 0.591695030975]	[0, 0.0, 0.0]	[2, 0.408304969025, 0.591695030975]	[2, 0.408304969025, 0.591695030975]	[2, 0.35748809322891162, 0.64251190677108838]	
2	[2, 0.106281221542, 0.893718778458]	[0, 0.0, 0.0]	[2, 0.106281221542, 0.893718778458]	[2, 0.106281221542, 0.893718778458]	[2, 0.29804794114024369, 0.70195205885975631]	
2	[2, 0.478103691162, 0.521896308838]	[0, 0.0, 0.0]	[2, 0.478103691162, 0.521896308838]	[2, 0.478103691162, 0.521896308838]	[2, 0.3719618332640755, 0.6280381667359245]	
2	[2, 0.462609169463, 0.537390830537]	[0, 0.0, 0.0]	[2, 0.46260916946299996, 0.5373908305370001]	[2, 0.462609169463, 0.537390830537]	[2, 0.36872787628490322, 0.63127212371509678]	
1	[2, 0.498925496998, 0.501074503002]	[1, 0.9735, 0.0265]	[1, 0.6696058007092456, 0.3303941992907544]	[1, 0.9735, 0.0265]	[1, 0.88471322189580992, 0.11528677810419008]	
1	[2, 0.478141424808, 0.521858575192]	[1, 0.9735, 0.0265]	[1, 0.6562967018507369, 0.34370329814926315]	[1, 0.9735, 0.0265]	[1, 0.88280218773552177, 0.11719781226447819]	
1	[2, 0.478099755763, 0.521900244237]	[0, 0.0, 0.0]	[2, 0.478099755763, 0.521900244237]	[2, 0.478099755763, 0.521900244237]	[2, 0.37196101041142027, 0.62803898958857973]	
2	[2, 0.478099755319, 0.521900244681]	[0, 0.0, 0.0]	[2, 0.478099755319, 0.5219002446809999]	[2, 0.478099755319, 0.521900244681]	[2, 0.37196101031858431, 0.62803898968141569]	
2	[2, 0.478099755266, 0.521900244734]	[0, 0.0, 0.0]	[2, 0.478099755266, 0.521900244734]	[2, 0.478099755266, 0.521900244734]	[2, 0.37196101030750262, 0.62803898969249738]	
2	[2, 0.0686542550353, 0.931345744965]	[0, 0.0, 0.0]	[2, 0.0686542550352794, 0.9313457449647206]	[2, 0.0686542550353, 0.931345744965]	[2, 0.2910502092260745, 0.7089497907739255]	
1	[2, 0.350698662308, 0.649301337692]	[0, 0.0, 0.0]	[2, 0.350698662308, 0.649301337692]	[2, 0.350698662308, 0.649301337692]	[2, 0.3457340619420517, 0.6542659380579483]	
2	[2, 0.460292706249, 0.539707293751]	[2, 0.0034, 0.9966]	[2, 0.29597164522962277, 0.7040283547703772]	[2, 0.0034, 0.9966]	[2, 0.10052459092760269, 0.89947540907239731]	
1	[2, 0.147258263696, 0.852741736304]	[1, 0.9735, 0.0265]	[2, 0.4444153793842807, 0.5555846206157193]	[1, 0.9735, 0.0265]	[1, 0.84852510253067226, 0.15147489746932774]	
2	[2, 0.227993769447, 0.772006230553]	[2, 0.0034, 0.9966]	[2, 0.14721881727746491, 0.8527811827225351]	[2, 0.0034, 0.9966]	[2, 0.083223851231859491, 0.91677614876814051]	
1	[2, 0.478101394887, 0.521898605113]	[0, 0.0, 0.0]	[2, 0.478101394887, 0.521898605113]	[2, 0.478101394887, 0.521898605113]	[2, 0.37196135313579981, 0.62803864686420019]	
1	[2, 0.428117292722, 0.571882707278]	[0, 0.0, 0.0]	[2, 0.42811729272200005, 0.571882707278]	[2, 0.428117292722, 0.571882707278]	[2, 0.36157142604022985, 0.63842857395977015]	
1	[2, 0.484082489796, 0.515917510204]	[1, 0.9735, 0.0265]	[1, 0.6601010680272632, 0.3398989319727368]	[1, 0.9735, 0.0265]	[1, 0.88335123802961624, 0.11664876197038371]	
2	[2, 0.47809975526, 0.52190024474]	[0, 0.0, 0.0]	[2, 0.4780997552599999, 0.5219002447400001]	[2, 0.47809975526, 0.52190024474]	[2, 0.37196101030624806, 0.62803898969375194]	
2	[2, 0.478097914955, 0.521902085045]	[2, 0.0034, 0.9966]	[2, 0.30737322624311403, 0.692626773756886]	[2, 0.0034, 0.9966]	[2, 0.10197477186495119, 0.89802522813504881]	
1	[2, 0.431512392882, 0.568487607118]	[0, 0.0, 0.0]	[2, 0.43151239288199994, 0.5684876071180001]	[2, 0.431512392882, 0.568487607118]	[2, 0.36227318907066797, 0.63772681092933203]	
2	[2, 0.401363462166, 0.598636537834]	[0, 0.0, 0.0]	[2, 0.40136346216600005, 0.598636537834]	[2, 0.401363462166, 0.598636537834]	[2, 0.35606228919508975, 0.64393771080491025]	
2	[2, 0.47806830646, 0.52193169354]	[2, 0.025, 0.975]	[2, 0.31512268747, 0.6848773125300001]	[2, 0.025, 0.975]	[2, 0.11056310352937471, 0.88943689647062529]	
2	[2, 0.12059251945, 0.87940748055]	[0, 0.0, 0.0]	[2, 0.12059251945000002, 0.87940748055]	[2, 0.12059251945, 0.87940748055]	[2, 0.3007347740160301, 0.6992652259839699]	
2	[2, 0.354832119944, 0.645167880056]	[0, 0.0, 0.0]	[2, 0.354832119944, 0.645167880056]	[2, 0.354832119944, 0.645167880056]	[2, 0.34657141092008348, 0.65342858907991652]	
1	[2, 0.486683497592, 0.513316502408]	[1, 0.8571, 0.1429]	[1, 0.6199034677562807, 0.3800965322437193]	[1, 0.8571, 0.1429]	[1, 0.82334910092051594, 0.17665089907948406]	
1	[2, 0.478101265953, 0.521898734047]	[0, 0.0, 0.0]	[2, 0.47810126595299995, 0.521898734047]	[2, 0.478101265953, 0.521898734047]	[2, 0.37196132617698963, 0.62803867382301037]	
2	[2, 0.478099753784, 0.521900246216]	[0, 0.0, 0.0]	[2, 0.47809975378400005, 0.521900246216]	[2, 0.478099753784, 0.521900246216]	[2, 0.37196100999763126, 0.62803899000236874]	
2	[2, 0.107142156466, 0.892857843534]	[0, 0.0, 0.0]	[2, 0.107142156466, 0.892857843534]	[2, 0.107142156466, 0.892857843534]	[2, 0.29820918402367802, 0.70179081597632198]	
2	[2, 0.168435322166, 0.831564677834]	[0, 0.0, 0.0]	[2, 0.168435322166, 0.831564677834]	[2, 0.168435322166, 0.831564677834]	[2, 0.30981603267405555, 0.69018396732594445]	
1	[2, 0.478099754892, 0.521900245108]	[1, 0.9735, 0.0265]	[1, 0.6562700184834738, 0.34372998151652623]	[1, 0.9735, 0.0265]	[1, 0.88279832885960341, 0.11720167114039658]	
1	[2, 0.478099760088, 0.521900239912]	[1, 0.9735, 0.0265]	[1, 0.6562700218107369, 0.3437299781892631]	[1, 0.9735, 0.0265]	[1, 0.88279832934079006, 0.11720167065920996]	
1	[2, 0.480038922864, 0.519961077136]	[0, 0.0, 0.0]	[2, 0.48003892286399996, 0.519961077136]	[2, 0.480038922864, 0.519961077136]	[2, 0.37236656074071428, 0.62763343925928572]	
2	[2, 0.0774289094996, 0.9225710905]	[0, 0.0, 0.0]	[2, 0.07742890949963098, 0.922571090500369]	[2, 0.0774289094996, 0.9225710905]	[2, 0.29267341488525533, 0.70732658511474467]	
1	[2, 0.394395354813, 0.605604645187]	[1, 0.9735, 0.0265]	[1, 0.6026698324679737, 0.3973301675320263]	[1, 0.9735, 0.0265]	[1, 0.87482167161942148, 0.12517832838057855]	
2	[2, 0.478099755266, 0.521900244734]	[0, 0.0, 0.0]	[2, 0.478099755266, 0.521900244734]	[2, 0.478099755266, 0.521900244734]	[2, 0.37196101030750262, 0.62803898969249738]	
1	[2, 0.478099755266, 0.521900244734]	[1, 0.9735, 0.0265]	[1, 0.6562700187229649, 0.34372998127703513]	[1, 0.9735, 0.0265]	[1, 0.88279832889423848, 0.1172016711057615]	
1	[2, 0.478099756209, 0.521900243791]	[1, 0.9735, 0.0265]	[1, 0.6562700193268158, 0.34372998067318417]	[1, 0.9735, 0.0265]	[1, 0.88279832898156696, 0.117201671018433]	
2	[2, 0.470522048735, 0.529477951265]	[2, 0.025, 0.975]	[2, 0.31029043471627193, 0.6897095652837281]	[2, 0.025, 0.975]	[2, 0.10990063755932777, 0.89009936244067223]	
1	[1, 0.650131266343, 0.349868733657]	[1, 0.9735, 0.0265]	[1, 0.7664305477459561, 0.2335694522540439]	[1, 0.9735, 0.0265]	[1, 0.92666884933365956, 0.073331150666340425]	
1	[1, 0.534760253075, 0.465239746925]	[0, 0.0, 0.0]	[1, 0.534760253075, 0.46523974692500003]	[1, 0.534760253075, 0.465239746925]	[2, 0.47261086249256745, 0.52738913750743255]	
2	[2, 0.480893588699, 0.519106411301]	[0, 0.0, 0.0]	[2, 0.480893588699, 0.519106411301]	[2, 0.480893588699, 0.519106411301]	[2, 0.37254535952345802, 0.62745464047654198]	
2	[2, 0.242385140573, 0.757614859427]	[0, 0.0, 0.0]	[2, 0.242385140573, 0.757614859427]	[2, 0.242385140573, 0.757614859427]	[2, 0.32414437861674328, 0.67585562138325672]	
2	[2, 0.122080525508, 0.877919474492]	[0, 0.0, 0.0]	[2, 0.122080525508, 0.877919474492]	[2, 0.122080525508, 0.877919474492]	[2, 0.30101492656046414, 0.69898507343953586]	
1	[1, 0.516231165484, 0.483768834516]	[1, 0.9735, 0.0265]	[1, 0.6806875007046667, 0.31931249929533334]	[1, 0.9735, 0.0265]	[1, 0.91809666706083282, 0.081903332939167198]	
2	[2, 0.189549144724, 0.810450855276]	[0, 0.0, 0.0]	[2, 0.189549144724, 0.810450855276]	[2, 0.189549144724, 0.810450855276]	[2, 0.3138714489735801, 0.6861285510264199]	
2	[2, 0.291760028357, 0.708239971643]	[0, 0.0, 0.0]	[2, 0.291760028357, 0.708239971643]	[2, 0.291760028357, 0.708239971643]	[2, 0.33390022056308377, 0.66609977943691623]	
1	[1, 0.572340784748, 0.427659215252]	[1, 0.9735, 0.0265]	[1, 0.7166173446193334, 0.28338265538066665]	[1, 0.9735, 0.0265]	[1, 0.92179462880746799, 0.078205371192532028]	
2	[2, 0.460563999749, 0.539436000251]	[0, 0.0, 0.0]	[2, 0.4605639997489999, 0.5394360002510001]	[2, 0.460563999749, 0.539436000251]	[2, 0.36830188908387107, 0.63169811091612893]	
2	[2, 0.477986968045, 0.522013031955]	[2, 0.0034, 0.9966]	[2, 0.3073021812919737, 0.6926978187080264]	[2, 0.0034, 0.9966]	[2, 0.1019656784207047, 0.8980343215792953]	
1	[2, 0.327437301939, 0.672562698061]	[1, 0.9735, 0.0265]	[1, 0.5597931845749737, 0.44020681542502627]	[1, 0.9735, 0.0265]	[1, 0.86810993925229563, 0.1318900607477044]	
1	[1, 0.574088925208, 0.425911074792]	[0, 0.0, 0.0]	[1, 0.574088925208, 0.42591107479199997]	[1, 0.574088925208, 0.425911074792]	[2, 0.48139233366569423, 0.51860766633430577]	
2	[2, 0.478099069362, 0.521900930638]	[0, 0.0, 0.0]	[2, 0.478099069362, 0.521900930638]	[2, 0.478099069362, 0.521900930638]	[2, 0.37196086689189756, 0.62803913310810244]	
2	[2, 0.378610878315, 0.621389121685]	[2, 0.0034, 0.9966]	[2, 0.24366661506135964, 0.7563333849386403]	[2, 0.0034, 0.9966]	[2, 0.094104426547513498, 0.9058955734524865]	
1	[2, 0.478126323835, 0.521873676165]	[1, 0.9735, 0.0265]	[1, 0.6562870319294298, 0.34371296807057017]	[1, 0.9735, 0.0265]	[1, 0.88280078931056249, 0.11719921068943745]	
1	[1, 0.511335287909, 0.488664712091]	[1, 0.9735, 0.0265]	[1, 0.677552421204886, 0.322447578795114]	[1, 0.9735, 0.0265]	[1, 0.91776655200198121, 0.08223344799801878]	
1	[2, 0.490809593149, 0.509190406851]	[1, 0.9735, 0.0265]	[1, 0.6644087745603247, 0.33559122543967534]	[1, 0.9735, 0.0265]	[1, 0.88397023446093259, 0.11602976553906741]	
1	[2, 0.483998177105, 0.516001822895]	[0, 0.0, 0.0]	[2, 0.483998177105, 0.5160018228950001]	[2, 0.483998177105, 0.516001822895]	[2, 0.37319514225993522, 0.62680485774006478]	
2	[1, 0.505036933435, 0.494963066565]	[0, 0.0, 0.0]	[1, 0.505036933435, 0.494963066565]	[1, 0.505036933435, 0.494963066565]	[2, 0.46598504694511267, 0.53401495305488733]	
1	[2, 0.478099761637, 0.521900238363]	[0, 0.0, 0.0]	[2, 0.478099761637, 0.521900238363]	[2, 0.478099761637, 0.521900238363]	[2, 0.37196101163961448, 0.62803898836038552]	
1	[2, 0.250439982027, 0.749560017973]	[1, 0.9735, 0.0265]	[1, 0.5104878832278158, 0.4895121167721842]	[1, 0.9735, 0.0265]	[1, 0.86001721162672096, 0.13998278837327907]	
1	[2, 0.276916282225, 0.723083717775]	[1, 0.9735, 0.0265]	[1, 0.5274420052844297, 0.47255799471557025]	[1, 0.9735, 0.0265]	[1, 0.86284585702825345, 0.13715414297174658]	
1	[2, 0.478146505515, 0.521853494485]	[0, 0.0, 0.0]	[2, 0.478146505515, 0.521853494485]	[2, 0.478146505515, 0.521853494485]	[2, 0.37197078536595618, 0.62802921463404382]	
1	[2, 0.478099755266, 0.521900244734]	[1, 0.9735, 0.0265]	[1, 0.6562700187229649, 0.34372998127703513]	[1, 0.9735, 0.0265]	[1, 0.88279832889423848, 0.1172016711057615]	
2	[2, 0.440774829154, 0.559225170846]	[0, 0.0, 0.0]	[2, 0.44077482915400007, 0.5592251708459999]	[2, 0.440774829154, 0.559225170846]	[2, 0.36419070446624302, 0.63580929553375698]	
2	[2, 0.478099755266, 0.521900244734]	[0, 0.0, 0.0]	[2, 0.478099755266, 0.521900244734]	[2, 0.478099755266, 0.521900244734]	[2, 0.37196101030750262, 0.62803898969249738]	
2	[2, 0.248294836591, 0.751705163409]	[0, 0.0, 0.0]	[2, 0.248294836591, 0.751705163409]	[2, 0.248294836591, 0.751705163409]	[2, 0.32530424991009865, 0.67469575008990135]	
1	[1, 0.571595150722, 0.428404849278]	[0, 0.0, 0.0]	[1, 0.571595150722, 0.42840484927800004]	[1, 0.571595150722, 0.428404849278]	[2, 0.48083511437273152, 0.51916488562726848]	
2	[2, 0.46502821784, 0.53497178216]	[0, 0.0, 0.0]	[2, 0.46502821784, 0.53497178216]	[2, 0.46502821784, 0.53497178216]	[2, 0.36923200276118728, 0.63076799723881272]	
2	[2, 0.0711081028491, 0.928891897151]	[2, 0.0034, 0.9966]	[2, 0.046756943052490875, 0.9532430569475091]	[2, 0.0034, 0.9966]	[2, 0.07311808454945723, 0.92688191545054277]	
2	[2, 0.442988434791, 0.557011565209]	[0, 0.0, 0.0]	[2, 0.44298843479100003, 0.557011565209]	[2, 0.442988434791, 0.557011565209]	[2, 0.36464960841824845, 0.63535039158175155]	
1	[1, 0.547434109556, 0.452565890444]	[1, 0.9735, 0.0265]	[1, 0.7006683333121755, 0.2993316666878245]	[1, 0.9735, 0.0265]	[1, 0.92017236893653953, 0.079827631063460511]	
2	[2, 0.0769221896181, 0.923077810382]	[0, 0.0, 0.0]	[2, 0.07692218961809232, 0.9230778103819077]	[2, 0.0769221896181, 0.923077810382]	[2, 0.29257953351033417, 0.70742046648966583]	
2	[2, 0.478099760347, 0.521900239653]	[0, 0.0, 0.0]	[2, 0.478099760347, 0.5219002396529999]	[2, 0.478099760347, 0.521900239653]	[2, 0.37196101136988857, 0.62803898863011143]	
2	[2, 0.47978241302, 0.52021758698]	[0, 0.0, 0.0]	[2, 0.47978241302, 0.52021758698]	[2, 0.47978241302, 0.52021758698]	[2, 0.37231290488330793, 0.62768709511669207]	
2	[2, 0.353579737286, 0.646420262714]	[2, 0.0034, 0.9966]	[2, 0.22763790194629824, 0.7723620980537018]	[2, 0.0034, 0.9966]	[2, 0.092211784899010385, 0.90778821510098962]	
2	[2, 0.478099679281, 0.521900320719]	[0, 0.0, 0.0]	[2, 0.47809967928099995, 0.521900320719]	[2, 0.478099679281, 0.521900320719]	[2, 0.37196099441980468, 0.62803900558019532]	
1	[1, 0.547741336614, 0.452258663386]	[1, 0.9735, 0.0265]	[1, 0.7008650664282632, 0.2991349335717368]	[1, 0.9735, 0.0265]	[1, 0.92019256565428154, 0.079807434345718409]	
1	[2, 0.428507321913, 0.571492678087]	[1, 0.9735, 0.0265]	[1, 0.6245134605232369, 0.37548653947676314]	[1, 0.9735, 0.0265]	[1, 0.87812711179236913, 0.12187288820763084]	
1	[2, 0.468900244388, 0.531099755612]	[0, 0.0, 0.0]	[2, 0.468900244388, 0.5310997556120001]	[2, 0.468900244388, 0.531099755612]	[2, 0.37003952190635292, 0.62996047809364708]	
1	[2, 0.478099755266, 0.521900244734]	[0, 0.0, 0.0]	[2, 0.478099755266, 0.521900244734]	[2, 0.478099755266, 0.521900244734]	[2, 0.37196101030750262, 0.62803898969249738]	
1	[2, 0.477129023247, 0.522870976753]	[0, 0.0, 0.0]	[2, 0.477129023247, 0.522870976753]	[2, 0.477129023247, 0.522870976753]	[2, 0.37175806261211941, 0.62824193738788059]	
