results for each method are shown as [sense label, confidence score for sense 1, confidence score for sense 2]
1 for sense 1, 2 for sense 2, 0 for the undetermined sense
true-sense	image	text	linear	max	log-reg
1	[1, 0.722254219544, 0.277745780456]	[0, 0.0, 0.0]	[1, 0.7222542195439999, 0.27774578045600007]	[1, 0.722254219544, 0.277745780456]	[1, 0.63471952533469034, 0.36528047466530966]	
2	[1, 0.724509813788, 0.275490186212]	[0, 0.0, 0.0]	[1, 0.724509813788, 0.27549018621200005]	[1, 0.724509813788, 0.275490186212]	[1, 0.6355587993674694, 0.36444120063253055]	
2	[1, 0.716086068722, 0.283913931278]	[0, 0.0, 0.0]	[1, 0.716086068722, 0.283913931278]	[1, 0.716086068722, 0.283913931278]	[1, 0.63242027427672842, 0.36757972572327163]	
1	[1, 0.722669199825, 0.277330800175]	[1, 0.9576, 0.0424]	[1, 0.7730115141482143, 0.22698848585178566]	[1, 0.9576, 0.0424]	[1, 0.81925120178143773, 0.18074879821856232]	
1	[1, 0.766218899988, 0.233781100012]	[0, 0.0, 0.0]	[1, 0.766218899988, 0.23378110001200003]	[1, 0.766218899988, 0.233781100012]	[1, 0.65092530093483825, 0.34907469906516175]	
1	[1, 0.718168376184, 0.281831623816]	[0, 0.0, 0.0]	[1, 0.718168376184, 0.281831623816]	[1, 0.718168376184, 0.281831623816]	[1, 0.63319715860234593, 0.36680284139765412]	
1	[1, 0.718319686974, 0.281680313026]	[0, 0.0, 0.0]	[1, 0.718319686974, 0.28168031302600005]	[1, 0.718319686974, 0.281680313026]	[1, 0.63325358395758846, 0.36674641604241154]	
2	[2, 0.478507564371, 0.521492435629]	[2, 0.0105, 0.9895]	[2, 0.37822022914864284, 0.6217797708513572]	[2, 0.0105, 0.9895]	[2, 0.16630966190589602, 0.83369033809410398]	
2	[1, 0.631512159274, 0.368487840726]	[2, 0.0105, 0.9895]	[2, 0.49843812514385705, 0.501561874856143]	[2, 0.0105, 0.9895]	[2, 0.23779699770074825, 0.76220300229925175]	
1	[1, 0.718168376238, 0.281831623762]	[0, 0.0, 0.0]	[1, 0.718168376238, 0.281831623762]	[1, 0.718168376238, 0.281831623762]	[1, 0.6331971586224836, 0.3668028413775164]	
1	[1, 0.718110372268, 0.281889627732]	[1, 0.9576, 0.0424]	[1, 0.7694295782105715, 0.23057042178942855]	[1, 0.9576, 0.0424]	[1, 0.81816475962270474, 0.18183524037729526]	
1	[1, 0.718294778251, 0.281705221749]	[0, 0.0, 0.0]	[1, 0.7182947782510001, 0.2817052217489999]	[1, 0.718294778251, 0.281705221749]	[1, 0.63324429548886951, 0.36675570451113043]	
2	[1, 0.718164505342, 0.281835494658]	[0, 0.0, 0.0]	[1, 0.718164505342, 0.28183549465799995]	[1, 0.718164505342, 0.281835494658]	[1, 0.63319571507750039, 0.36680428492249961]	
2	[2, 0.162496823181, 0.837503176819]	[2, 0.0105, 0.9895]	[2, 0.1299260753565, 0.8700739246435]	[2, 0.0105, 0.9895]	[2, 0.10722468590676082, 0.89277531409323918]	
1	[1, 0.730677842216, 0.269322157784]	[1, 0.9576, 0.0424]	[1, 0.779304018884, 0.22069598111599997]	[1, 0.9576, 0.0424]	[1, 0.82114752789469669, 0.17885247210530325]	
1	[1, 0.718285421769, 0.281714578231]	[0, 0.0, 0.0]	[1, 0.718285421769, 0.281714578231]	[1, 0.718285421769, 0.281714578231]	[1, 0.63324080642893321, 0.36675919357106684]	
2	[2, 0.119244974516, 0.880755025484]	[0, 0.0, 0.0]	[2, 0.11924497451599998, 0.880755025484]	[2, 0.119244974516, 0.880755025484]	[2, 0.35040932856295903, 0.64959067143704097]	
2	[1, 0.686133946238, 0.313866053762]	[0, 0.0, 0.0]	[1, 0.686133946238, 0.31386605376200005]	[1, 0.686133946238, 0.313866053762]	[1, 0.62117106197897975, 0.37882893802102025]	
1	[1, 0.732564051599, 0.267435948401]	[0, 0.0, 0.0]	[1, 0.732564051599, 0.26743594840100005]	[1, 0.732564051599, 0.267435948401]	[1, 0.63854891332405295, 0.361451086675947]	
1	[1, 0.718168393622, 0.281831606378]	[0, 0.0, 0.0]	[1, 0.718168393622, 0.281831606378]	[1, 0.718168393622, 0.281831606378]	[1, 0.6331971651053665, 0.36680283489463356]	
1	[1, 0.718168376184, 0.281831623816]	[0, 0.0, 0.0]	[1, 0.718168376184, 0.281831623816]	[1, 0.718168376184, 0.281831623816]	[1, 0.63319715860234593, 0.36680284139765412]	
1	[1, 0.863593922371, 0.136406077629]	[0, 0.0, 0.0]	[1, 0.863593922371, 0.13640607762900003]	[1, 0.863593922371, 0.136406077629]	[1, 0.68556322239989886, 0.31443677760010108]	
1	[1, 0.79396762029, 0.20603237971]	[0, 0.0, 0.0]	[1, 0.79396762029, 0.20603237971]	[1, 0.79396762029, 0.20603237971]	[1, 0.66097972866522547, 0.33902027133477453]	
1	[1, 0.718164012277, 0.281835987723]	[0, 0.0, 0.0]	[1, 0.718164012277, 0.281835987723]	[1, 0.718164012277, 0.281835987723]	[1, 0.63319553120219818, 0.36680446879780176]	
1	[1, 0.74085593641, 0.25914406359]	[1, 0.9576, 0.0424]	[1, 0.7873010928935715, 0.21269890710642847]	[1, 0.9576, 0.0424]	[1, 0.82353504479867656, 0.17646495520132341]	
1	[1, 0.718168376184, 0.281831623816]	[0, 0.0, 0.0]	[1, 0.718168376184, 0.281831623816]	[1, 0.718168376184, 0.281831623816]	[1, 0.63319715860234593, 0.36680284139765412]	
1	[1, 0.556597747065, 0.443402252935]	[0, 0.0, 0.0]	[1, 0.556597747065, 0.443402252935]	[1, 0.556597747065, 0.443402252935]	[1, 0.57114736484878303, 0.42885263515121697]	
2	[2, 0.465466733669, 0.534533266331]	[0, 0.0, 0.0]	[2, 0.465466733669, 0.5345332663310001]	[2, 0.465466733669, 0.534533266331]	[2, 0.48467113193914313, 0.51532886806085687]	
1	[1, 0.852467793527, 0.147532206473]	[1, 0.9576, 0.0424]	[1, 0.8749961234855, 0.12500387651449996]	[1, 0.9576, 0.0424]	[1, 0.84808912105320222, 0.15191087894679778]	
2	[1, 0.714745234021, 0.285254765979]	[0, 0.0, 0.0]	[1, 0.714745234021, 0.285254765979]	[1, 0.714745234021, 0.285254765979]	[1, 0.6319196602126379, 0.3680803397873621]	
1	[1, 0.719268503925, 0.280731496075]	[0, 0.0, 0.0]	[1, 0.7192685039250001, 0.2807314960749999]	[1, 0.719268503925, 0.280731496075]	[1, 0.63360732425856148, 0.36639267574143852]	
2	[1, 0.564675353484, 0.435324646516]	[0, 0.0, 0.0]	[1, 0.564675353484, 0.435324646516]	[1, 0.564675353484, 0.435324646516]	[1, 0.57432116161051894, 0.42567883838948106]	
2	[1, 0.715483832041, 0.284516167959]	[0, 0.0, 0.0]	[1, 0.7154838320410001, 0.2845161679589999]	[1, 0.715483832041, 0.284516167959]	[1, 0.63219545842620084, 0.36780454157379916]	
2	[1, 0.730790678419, 0.269209321581]	[0, 0.0, 0.0]	[1, 0.7307906784189999, 0.2692093215810001]	[1, 0.730790678419, 0.269209321581]	[1, 0.63789146484949866, 0.36210853515050134]	
2	[2, 0.438991351439, 0.561008648561]	[0, 0.0, 0.0]	[2, 0.43899135143900003, 0.561008648561]	[2, 0.438991351439, 0.561008648561]	[2, 0.47406218158525515, 0.52593781841474485]	
2	[1, 0.707860585663, 0.292139414337]	[0, 0.0, 0.0]	[1, 0.7078605856629999, 0.2921394143370001]	[1, 0.707860585663, 0.292139414337]	[1, 0.62934474807661944, 0.3706552519233805]	
1	[1, 0.519820126726, 0.480179873274]	[0, 0.0, 0.0]	[1, 0.519820126726, 0.480179873274]	[1, 0.519820126726, 0.480179873274]	[1, 0.5566266346339328, 0.44337336536606725]	
1	[1, 0.718168376184, 0.281831623816]	[1, 0.9576, 0.0424]	[1, 0.769475152716, 0.23052484728400002]	[1, 0.9576, 0.0424]	[1, 0.81817861473598097, 0.18182138526401903]	
1	[1, 0.718168376184, 0.281831623816]	[1, 0.9576, 0.0424]	[1, 0.769475152716, 0.23052484728400002]	[1, 0.9576, 0.0424]	[1, 0.81817861473598097, 0.18182138526401903]	
1	[1, 0.718168423089, 0.281831576911]	[0, 0.0, 0.0]	[1, 0.718168423089, 0.281831576911]	[1, 0.718168423089, 0.281831576911]	[1, 0.63319717609427029, 0.36680282390572966]	
1	[1, 0.718168376184, 0.281831623816]	[0, 0.0, 0.0]	[1, 0.718168376184, 0.281831623816]	[1, 0.718168376184, 0.281831623816]	[1, 0.63319715860234593, 0.36680284139765412]	
1	[1, 0.714519522341, 0.285480477659]	[2, 0.0769, 0.9231]	[1, 0.5778867675536429, 0.4221132324463571]	[2, 0.0769, 0.9231]	[2, 0.29314088479269729, 0.70685911520730271]	
1	[1, 0.693786706539, 0.306213293461]	[0, 0.0, 0.0]	[1, 0.693786706539, 0.306213293461]	[1, 0.693786706539, 0.306213293461]	[1, 0.6240582009519503, 0.3759417990480497]	
1	[1, 0.783970684834, 0.216029315166]	[0, 0.0, 0.0]	[1, 0.783970684834, 0.216029315166]	[1, 0.783970684834, 0.216029315166]	[1, 0.6573735951086711, 0.3426264048913289]	
1	[1, 0.76732773475, 0.23267226525]	[0, 0.0, 0.0]	[1, 0.76732773475, 0.23267226524999995]	[1, 0.76732773475, 0.23267226525]	[1, 0.65132973373636893, 0.34867026626363107]	
2	[1, 0.710786132957, 0.289213867043]	[0, 0.0, 0.0]	[1, 0.710786132957, 0.289213867043]	[1, 0.710786132957, 0.289213867043]	[1, 0.63043983380233171, 0.36956016619766829]	
2	[2, 0.171177552819, 0.828822447181]	[2, 0.0105, 0.9895]	[2, 0.1367466486435, 0.8632533513564999]	[2, 0.0105, 0.9895]	[2, 0.1085662672784844, 0.8914337327215156]	
1	[1, 0.698616572865, 0.301383427135]	[0, 0.0, 0.0]	[1, 0.698616572865, 0.301383427135]	[1, 0.698616572865, 0.301383427135]	[1, 0.62587584080257774, 0.3741241591974222]	
2	[2, 0.357687175498, 0.642312824502]	[0, 0.0, 0.0]	[2, 0.35768717549799994, 0.642312824502]	[2, 0.357687175498, 0.642312824502]	[2, 0.44166947495928688, 0.55833052504071312]	
1	[1, 0.71698243322, 0.28301756678]	[1, 0.9576, 0.0424]	[1, 0.7685433403871429, 0.2314566596128571]	[1, 0.9576, 0.0424]	[1, 0.81789517105776177, 0.18210482894223817]	
2	[1, 0.718168376184, 0.281831623816]	[0, 0.0, 0.0]	[1, 0.718168376184, 0.281831623816]	[1, 0.718168376184, 0.281831623816]	[1, 0.63319715860234593, 0.36680284139765412]	
1	[1, 0.587950019705, 0.412049980295]	[0, 0.0, 0.0]	[1, 0.587950019705, 0.41204998029499995]	[1, 0.587950019705, 0.412049980295]	[1, 0.58343103209802361, 0.41656896790197645]	
2	[1, 0.718167248867, 0.281832751133]	[0, 0.0, 0.0]	[1, 0.718167248867, 0.281832751133]	[1, 0.718167248867, 0.281832751133]	[1, 0.63319673820049438, 0.36680326179950562]	
