results for each method are shown as [sense label, confidence score for sense 1, confidence score for sense 2]
1 for sense 1, 2 for sense 2, 0 for the undetermined sense
true-sense	image	text	linear	max	log-reg
2	[1, 0.511457852706, 0.488542147294]	[2, 0.0154, 0.9846]	[2, 0.2728138046474378, 0.7271861953525622]	[2, 0.0154, 0.9846]	[2, 0.13576609890697788, 0.86423390109302212]	
2	[1, 0.502865422245, 0.497134577755]	[2, 0.0154, 0.9846]	[2, 0.2683550299217297, 0.7316449700782703]	[2, 0.0154, 0.9846]	[2, 0.13577037674267456, 0.86422962325732544]	
1	[1, 0.502865422241, 0.497134577759]	[0, 0.0, 0.0]	[1, 0.502865422241, 0.49713457775900005]	[1, 0.502865422241, 0.497134577759]	[1, 0.75402461068291116, 0.24597538931708887]	
1	[1, 0.502865422241, 0.497134577759]	[1, 0.9882, 0.0118]	[1, 0.7363507055953297, 0.26364929440467033]	[1, 0.9882, 0.0118]	[1, 0.92630793738219341, 0.073692062617806572]	
1	[1, 0.502865422241, 0.497134577759]	[0, 0.0, 0.0]	[1, 0.502865422241, 0.49713457775900005]	[1, 0.502865422241, 0.497134577759]	[1, 0.75402461068291116, 0.24597538931708887]	
1	[1, 0.502865422332, 0.497134577668]	[0, 0.0, 0.0]	[1, 0.502865422332, 0.49713457766799996]	[1, 0.502865422332, 0.497134577668]	[1, 0.75402461068283955, 0.24597538931716045]	
1	[1, 0.502865422241, 0.497134577759]	[0, 0.0, 0.0]	[1, 0.502865422241, 0.49713457775900005]	[1, 0.502865422241, 0.497134577759]	[1, 0.75402461068291116, 0.24597538931708887]	
1	[1, 0.502875525621, 0.497124474379]	[0, 0.0, 0.0]	[1, 0.502875525621, 0.497124474379]	[1, 0.502875525621, 0.497124474379]	[1, 0.75402460273187843, 0.24597539726812159]	
1	[1, 0.676338487789, 0.323661512211]	[0, 0.0, 0.0]	[1, 0.676338487789, 0.32366151221100004]	[1, 0.676338487789, 0.323661512211]	[1, 0.75388806747829518, 0.2461119325217048]	
1	[1, 0.502865422241, 0.497134577759]	[0, 0.0, 0.0]	[1, 0.502865422241, 0.49713457775900005]	[1, 0.502865422241, 0.497134577759]	[1, 0.75402461068291116, 0.24597538931708887]	
1	[1, 0.502902031993, 0.497097968007]	[0, 0.0, 0.0]	[1, 0.502902031993, 0.497097968007]	[1, 0.502902031993, 0.497097968007]	[1, 0.75402458187222166, 0.24597541812777834]	
1	[1, 0.505435569417, 0.494564430583]	[0, 0.0, 0.0]	[1, 0.505435569417, 0.49456443058300004]	[1, 0.505435569417, 0.494564430583]	[1, 0.75402258805477818, 0.24597741194522188]	
2	[1, 0.502865422241, 0.497134577759]	[2, 0.0154, 0.9846]	[2, 0.26835502991965404, 0.731644970080346]	[2, 0.0154, 0.9846]	[2, 0.13577037674267656, 0.86422962325732344]	
2	[1, 0.502865422241, 0.497134577759]	[2, 0.0154, 0.9846]	[2, 0.26835502991965404, 0.731644970080346]	[2, 0.0154, 0.9846]	[2, 0.13577037674267656, 0.86422962325732344]	
1	[1, 0.576732698339, 0.423267301661]	[0, 0.0, 0.0]	[1, 0.576732698339, 0.423267301661]	[1, 0.576732698339, 0.423267301661]	[1, 0.75396647490249702, 0.24603352509750293]	
1	[1, 0.502865429441, 0.497134570559]	[0, 0.0, 0.0]	[1, 0.502865429441, 0.497134570559]	[1, 0.502865429441, 0.497134570559]	[1, 0.75402461067724502, 0.24597538932275503]	
1	[1, 0.502865422241, 0.497134577759]	[0, 0.0, 0.0]	[1, 0.502865422241, 0.49713457775900005]	[1, 0.502865422241, 0.497134577759]	[1, 0.75402461068291116, 0.24597538931708887]	
1	[1, 0.502865851603, 0.497134148397]	[0, 0.0, 0.0]	[1, 0.502865851603, 0.497134148397]	[1, 0.502865851603, 0.497134148397]	[1, 0.75402461034501711, 0.24597538965498286]	
2	[1, 0.550288369126, 0.449711630874]	[0, 0.0, 0.0]	[1, 0.550288369126, 0.449711630874]	[1, 0.550288369126, 0.449711630874]	[1, 0.75398728845309404, 0.24601271154690596]	
1	[1, 0.502865422241, 0.497134577759]	[0, 0.0, 0.0]	[1, 0.502865422241, 0.49713457775900005]	[1, 0.502865422241, 0.497134577759]	[1, 0.75402461068291116, 0.24597538931708887]	
2	[1, 0.502865476383, 0.497134523617]	[2, 0.0154, 0.9846]	[2, 0.26835505801496223, 0.7316449419850377]	[2, 0.0154, 0.9846]	[2, 0.13577037671572101, 0.86422962328427899]	
2	[1, 0.510024879341, 0.489975120659]	[0, 0.0, 0.0]	[1, 0.510024879341, 0.48997512065899995]	[1, 0.510024879341, 0.489975120659]	[1, 0.75401897637873083, 0.24598102362126917]	
1	[1, 0.502865422241, 0.497134577759]	[0, 0.0, 0.0]	[1, 0.502865422241, 0.49713457775900005]	[1, 0.502865422241, 0.497134577759]	[1, 0.75402461068291116, 0.24597538931708887]	
2	[1, 0.502865421619, 0.497134578381]	[2, 0.0057, 0.9943]	[2, 0.2636885431104, 0.7363114568896]	[2, 0.0057, 0.9943]	[2, 0.13160792289646506, 0.86839207710353494]	
1	[1, 0.502865422241, 0.497134577759]	[0, 0.0, 0.0]	[1, 0.502865422241, 0.49713457775900005]	[1, 0.502865422241, 0.497134577759]	[1, 0.75402461068291116, 0.24597538931708887]	
1	[1, 0.521207105375, 0.478792894625]	[0, 0.0, 0.0]	[1, 0.521207105375, 0.47879289462499997]	[1, 0.521207105375, 0.478792894625]	[1, 0.75401017608737586, 0.24598982391262419]	
1	[1, 0.512850951888, 0.487149048112]	[1, 0.9963, 0.0037]	[1, 0.7454291426013405, 0.2545708573986595]	[1, 0.9963, 0.0037]	[1, 0.92832788412111811, 0.071672115878881906]	
2	[1, 0.506709150488, 0.493290849512]	[0, 0.0, 0.0]	[1, 0.506709150488, 0.493290849512]	[1, 0.506709150488, 0.493290849512]	[1, 0.75402158578082279, 0.24597841421917718]	
1	[1, 0.502865422241, 0.497134577759]	[0, 0.0, 0.0]	[1, 0.502865422241, 0.49713457775900005]	[1, 0.502865422241, 0.497134577759]	[1, 0.75402461068291116, 0.24597538931708887]	
2	[1, 0.626795645508, 0.373204354492]	[2, 0.0154, 0.9846]	[2, 0.332664767398746, 0.667335232601254]	[2, 0.0154, 0.9846]	[2, 0.1357086877197432, 0.8642913122802568]	
2	[1, 0.502865422246, 0.497134577754]	[2, 0.0154, 0.9846]	[2, 0.26835502992224863, 0.7316449700777514]	[2, 0.0154, 0.9846]	[2, 0.135770376742674, 0.864229623257326]	
2	[1, 0.502865422241, 0.497134577759]	[0, 0.0, 0.0]	[1, 0.502865422241, 0.49713457775900005]	[1, 0.502865422241, 0.497134577759]	[1, 0.75402461068291116, 0.24597538931708887]	
2	[1, 0.503114228996, 0.496885771004]	[2, 0.0154, 0.9846]	[2, 0.2684841404519784, 0.7315158595480216]	[2, 0.0154, 0.9846]	[2, 0.13577025286990885, 0.86422974713009115]	
2	[1, 0.521575222354, 0.478424777646]	[0, 0.0, 0.0]	[1, 0.521575222354, 0.478424777646]	[1, 0.521575222354, 0.478424777646]	[1, 0.75400988637967481, 0.24599011362032522]	
2	[1, 0.502865422241, 0.497134577759]	[2, 0.0057, 0.9943]	[2, 0.26368854343316755, 0.7363114565668325]	[2, 0.0057, 0.9943]	[2, 0.1316079228961633, 0.8683920771038367]	
2	[1, 0.502865422241, 0.497134577759]	[2, 0.0154, 0.9846]	[2, 0.26835502991965404, 0.731644970080346]	[2, 0.0154, 0.9846]	[2, 0.13577037674267656, 0.86422962325732344]	
1	[1, 0.503111373298, 0.496888626702]	[0, 0.0, 0.0]	[1, 0.503111373298, 0.49688862670199996]	[1, 0.503111373298, 0.496888626702]	[1, 0.75402441712734913, 0.24597558287265087]	
1	[1, 0.503659617614, 0.496340382386]	[0, 0.0, 0.0]	[1, 0.503659617614, 0.496340382386]	[1, 0.503659617614, 0.496340382386]	[1, 0.75402398567635709, 0.24597601432364286]	
1	[1, 0.502865422241, 0.497134577759]	[0, 0.0, 0.0]	[1, 0.502865422241, 0.49713457775900005]	[1, 0.502865422241, 0.497134577759]	[1, 0.75402461068291116, 0.24597538931708887]	
1	[1, 0.502888103013, 0.497111896987]	[0, 0.0, 0.0]	[1, 0.502888103013, 0.497111896987]	[1, 0.502888103013, 0.497111896987]	[1, 0.75402459283387824, 0.24597540716612182]	
2	[1, 0.50291779451, 0.49708220549]	[2, 0.0057, 0.9943]	[2, 0.26371572039437835, 0.7362842796056217]	[2, 0.0057, 0.9943]	[2, 0.13160789749936863, 0.86839210250063137]	
1	[1, 0.503171710081, 0.496828289919]	[0, 0.0, 0.0]	[1, 0.503171710081, 0.49682828991899997]	[1, 0.503171710081, 0.496828289919]	[1, 0.75402436964422814, 0.24597563035577186]	
1	[1, 0.502865422241, 0.497134577759]	[0, 0.0, 0.0]	[1, 0.502865422241, 0.49713457775900005]	[1, 0.502865422241, 0.497134577759]	[1, 0.75402461068291116, 0.24597538931708887]	
2	[2, 0.443684509918, 0.556315490082]	[2, 0.0057, 0.9943]	[2, 0.2329784483898811, 0.7670215516101189]	[2, 0.0057, 0.9943]	[2, 0.10562015275819059, 0.89437984724180941]	
2	[1, 0.578975674463, 0.421024325537]	[0, 0.0, 0.0]	[1, 0.578975674463, 0.421024325537]	[1, 0.578975674463, 0.421024325537]	[1, 0.75396470946765137, 0.24603529053234863]	
1	[1, 0.698214276355, 0.301785723645]	[0, 0.0, 0.0]	[1, 0.698214276355, 0.301785723645]	[1, 0.698214276355, 0.301785723645]	[1, 0.75387084509854896, 0.2461291549014511]	
1	[1, 0.530926287778, 0.469073712222]	[0, 0.0, 0.0]	[1, 0.530926287778, 0.469073712222]	[1, 0.530926287778, 0.469073712222]	[1, 0.75400252702327819, 0.24599747297672181]	
1	[1, 0.513957148935, 0.486042851065]	[0, 0.0, 0.0]	[1, 0.513957148935, 0.486042851065]	[1, 0.513957148935, 0.486042851065]	[1, 0.75401588174912815, 0.24598411825087182]	
1	[1, 0.502865422241, 0.497134577759]	[0, 0.0, 0.0]	[1, 0.502865422241, 0.49713457775900005]	[1, 0.502865422241, 0.497134577759]	[1, 0.75402461068291116, 0.24597538931708887]	
1	[1, 0.502877223563, 0.497122776437]	[0, 0.0, 0.0]	[1, 0.502877223563, 0.497122776437]	[1, 0.502877223563, 0.497122776437]	[1, 0.75402460139565308, 0.24597539860434695]	
2	[1, 0.502867015324, 0.497132984676]	[2, 0.0154, 0.9846]	[2, 0.2683558566005622, 0.7316441433994378]	[2, 0.0154, 0.9846]	[2, 0.13577037594953223, 0.86422962405046777]	
1	[1, 0.506988825154, 0.493011174846]	[0, 0.0, 0.0]	[1, 0.506988825154, 0.493011174846]	[1, 0.506988825154, 0.493011174846]	[1, 0.75402136568403488, 0.24597863431596517]	
1	[1, 0.502865422241, 0.497134577759]	[1, 0.9444, 0.0556]	[1, 0.7152793542439784, 0.28472064575602163]	[1, 0.9444, 0.0556]	[1, 0.91443373634259983, 0.085566263657400221]	
1	[1, 0.502865422238, 0.497134577762]	[0, 0.0, 0.0]	[1, 0.502865422238, 0.497134577762]	[1, 0.502865422238, 0.497134577762]	[1, 0.75402461068291349, 0.24597538931708651]	
1	[1, 0.5028654222, 0.4971345778]	[0, 0.0, 0.0]	[1, 0.5028654222, 0.49713457780000003]	[1, 0.5028654222, 0.4971345778]	[1, 0.75402461068294335, 0.24597538931705665]	
2	[1, 0.502865798797, 0.497134201203]	[2, 0.0154, 0.9846]	[2, 0.2683552253216865, 0.7316447746783135]	[2, 0.0154, 0.9846]	[2, 0.13577037655520152, 0.86422962344479848]	
1	[1, 0.502865422241, 0.497134577759]	[0, 0.0, 0.0]	[1, 0.502865422241, 0.49713457775900005]	[1, 0.502865422241, 0.497134577759]	[1, 0.75402461068291116, 0.24597538931708887]	
2	[1, 0.5028654226, 0.4971345774]	[2, 0.0154, 0.9846]	[2, 0.26835503010594597, 0.731644969894054]	[2, 0.0154, 0.9846]	[2, 0.1357703767424977, 0.8642296232575023]	
2	[2, 0.127812581623, 0.872187418377]	[2, 0.0057, 0.9943]	[2, 0.0690665288422054, 0.9309334711577946]	[2, 0.0057, 0.9943]	[2, 0.10574682721464312, 0.89425317278535688]	
1	[1, 0.502908695861, 0.497091304139]	[0, 0.0, 0.0]	[1, 0.502908695861, 0.49709130413900005]	[1, 0.502908695861, 0.497091304139]	[1, 0.75402457662797306, 0.24597542337202696]	
1	[1, 0.592133975922, 0.407866024078]	[2, 0.0057, 0.9943]	[2, 0.3100116848027676, 0.6899883151972324]	[2, 0.0057, 0.9943]	[2, 0.13156464008555535, 0.86843535991444465]	
2	[1, 0.598984279529, 0.401015720471]	[2, 0.0154, 0.9846]	[2, 0.3182329234312649, 0.6817670765687351]	[2, 0.0154, 0.9846]	[2, 0.13572252938868012, 0.86427747061131988]	
1	[1, 0.658600841855, 0.341399158145]	[0, 0.0, 0.0]	[1, 0.658600841855, 0.341399158145]	[1, 0.658600841855, 0.341399158145]	[1, 0.7539020313835143, 0.24609796861648572]	
2	[1, 0.502865422241, 0.497134577759]	[2, 0.0154, 0.9846]	[2, 0.26835502991965404, 0.731644970080346]	[2, 0.0154, 0.9846]	[2, 0.13577037674267656, 0.86422962325732344]	
1	[1, 0.502865422241, 0.497134577759]	[0, 0.0, 0.0]	[1, 0.502865422241, 0.49713457775900005]	[1, 0.502865422241, 0.497134577759]	[1, 0.75402461068291116, 0.24597538931708887]	
2	[1, 0.502865422241, 0.497134577759]	[2, 0.0057, 0.9943]	[2, 0.26368854343316755, 0.7363114565668325]	[2, 0.0057, 0.9943]	[2, 0.1316079228961633, 0.8683920771038367]	
2	[1, 0.512570535815, 0.487429464185]	[2, 0.0057, 0.9943]	[2, 0.268724710476973, 0.731275289523027]	[2, 0.0057, 0.9943]	[2, 0.13160321668303943, 0.86839678331696057]	
2	[1, 0.503077388882, 0.496922611118]	[2, 0.0154, 0.9846]	[2, 0.2684650234198487, 0.7315349765801513]	[2, 0.0154, 0.9846]	[2, 0.13577027121139384, 0.86422972878860616]	
1	[1, 0.502865422241, 0.497134577759]	[0, 0.0, 0.0]	[1, 0.502865422241, 0.49713457775900005]	[1, 0.502865422241, 0.497134577759]	[1, 0.75402461068291116, 0.24597538931708887]	
1	[1, 0.502865423211, 0.497134576789]	[0, 0.0, 0.0]	[1, 0.502865423211, 0.49713457678899997]	[1, 0.502865423211, 0.497134576789]	[1, 0.75402461068214777, 0.24597538931785223]	
1	[1, 0.502865422238, 0.497134577762]	[0, 0.0, 0.0]	[1, 0.502865422238, 0.497134577762]	[1, 0.502865422238, 0.497134577762]	[1, 0.75402461068291349, 0.24597538931708651]	
1	[1, 0.502865422241, 0.497134577759]	[0, 0.0, 0.0]	[1, 0.502865422241, 0.49713457775900005]	[1, 0.502865422241, 0.497134577759]	[1, 0.75402461068291116, 0.24597538931708887]	
1	[1, 0.507657031427, 0.492342968573]	[0, 0.0, 0.0]	[1, 0.507657031427, 0.492342968573]	[1, 0.507657031427, 0.492342968573]	[1, 0.75402083982230139, 0.24597916017769864]	
2	[1, 0.50286550831, 0.49713449169]	[0, 0.0, 0.0]	[1, 0.50286550831, 0.49713449169]	[1, 0.50286550831, 0.49713449169]	[1, 0.75402461061517756, 0.24597538938482241]	
1	[1, 0.502865422276, 0.497134577724]	[0, 0.0, 0.0]	[1, 0.502865422276, 0.49713457772400005]	[1, 0.502865422276, 0.497134577724]	[1, 0.75402461068288362, 0.24597538931711641]	
1	[1, 0.502865422241, 0.497134577759]	[0, 0.0, 0.0]	[1, 0.502865422241, 0.49713457775900005]	[1, 0.502865422241, 0.497134577759]	[1, 0.75402461068291116, 0.24597538931708887]	
1	[1, 0.502880222001, 0.497119777999]	[0, 0.0, 0.0]	[1, 0.502880222001, 0.497119777999]	[1, 0.502880222001, 0.497119777999]	[1, 0.75402459903597951, 0.24597540096402054]	
2	[1, 0.502865422241, 0.497134577759]	[0, 0.0, 0.0]	[1, 0.502865422241, 0.49713457775900005]	[1, 0.502865422241, 0.497134577759]	[1, 0.75402461068291116, 0.24597538931708887]	
1	[1, 0.502865422241, 0.497134577759]	[0, 0.0, 0.0]	[1, 0.502865422241, 0.49713457775900005]	[1, 0.502865422241, 0.497134577759]	[1, 0.75402461068291116, 0.24597538931708887]	
2	[1, 0.502865441034, 0.497134558966]	[2, 0.0154, 0.9846]	[2, 0.2683550396716973, 0.7316449603283026]	[2, 0.0154, 0.9846]	[2, 0.13577037673332015, 0.86422962326667985]	
2	[1, 0.502865422241, 0.497134577759]	[2, 0.0154, 0.9846]	[2, 0.26835502991965404, 0.731644970080346]	[2, 0.0154, 0.9846]	[2, 0.13577037674267656, 0.86422962325732344]	
2	[1, 0.502865423485, 0.497134576515]	[2, 0.0154, 0.9846]	[2, 0.26835503056518917, 0.7316449694348108]	[2, 0.0154, 0.9846]	[2, 0.13577037674205705, 0.86422962325794295]	
2	[1, 0.504267616922, 0.495732383078]	[2, 0.0057, 0.9943]	[2, 0.26441616878114593, 0.7355838312188541]	[2, 0.0057, 0.9943]	[2, 0.13160724293372872, 0.86839275706627128]	
1	[1, 0.502865422651, 0.497134577349]	[0, 0.0, 0.0]	[1, 0.502865422651, 0.497134577349]	[1, 0.502865422651, 0.497134577349]	[1, 0.75402461068258853, 0.24597538931741153]	
1	[1, 0.502865422241, 0.497134577759]	[0, 0.0, 0.0]	[1, 0.502865422241, 0.49713457775900005]	[1, 0.502865422241, 0.497134577759]	[1, 0.75402461068291116, 0.24597538931708887]	
2	[1, 0.526120990674, 0.473879009326]	[0, 0.0, 0.0]	[1, 0.526120990674, 0.473879009326]	[1, 0.526120990674, 0.473879009326]	[1, 0.75400630884552333, 0.24599369115447661]	
2	[1, 0.525932422063, 0.474067577937]	[2, 0.0154, 0.9846]	[2, 0.2803249325299892, 0.7196750674700108]	[2, 0.0154, 0.9846]	[2, 0.1357588928408473, 0.8642411071591527]	
1	[1, 0.722427256896, 0.277572743104]	[0, 0.0, 0.0]	[1, 0.722427256896, 0.27757274310400004]	[1, 0.722427256896, 0.277572743104]	[1, 0.75385178174695, 0.24614821825305003]	
1	[1, 0.503608527337, 0.496391472663]	[0, 0.0, 0.0]	[1, 0.503608527337, 0.496391472663]	[1, 0.503608527337, 0.496391472663]	[1, 0.75402402588281603, 0.245975974117184]	
1	[1, 0.520494294032, 0.479505705968]	[0, 0.0, 0.0]	[1, 0.520494294032, 0.479505705968]	[1, 0.520494294032, 0.479505705968]	[1, 0.75401073706854937, 0.24598926293145068]	
1	[1, 0.503908052176, 0.496091947824]	[0, 0.0, 0.0]	[1, 0.503908052176, 0.496091947824]	[1, 0.503908052176, 0.496091947824]	[1, 0.7540237901660215, 0.24597620983397853]	
1	[2, 0.469335856357, 0.530664143643]	[0, 0.0, 0.0]	[2, 0.469335856357, 0.530664143643]	[2, 0.469335856357, 0.530664143643]	[1, 0.70487456514643543, 0.29512543485356463]	
1	[1, 0.502865422241, 0.497134577759]	[0, 0.0, 0.0]	[1, 0.502865422241, 0.49713457775900005]	[1, 0.502865422241, 0.497134577759]	[1, 0.75402461068291116, 0.24597538931708887]	
1	[1, 0.50286542234, 0.49713457766]	[0, 0.0, 0.0]	[1, 0.50286542234, 0.49713457766]	[1, 0.50286542234, 0.49713457766]	[1, 0.75402461068283322, 0.24597538931716681]	
1	[1, 0.509833870454, 0.490166129546]	[0, 0.0, 0.0]	[1, 0.509833870454, 0.49016612954600003]	[1, 0.509833870454, 0.490166129546]	[1, 0.75401912669882343, 0.2459808733011766]	
1	[1, 0.502865422262, 0.497134577738]	[0, 0.0, 0.0]	[1, 0.502865422262, 0.49713457773799996]	[1, 0.502865422262, 0.497134577738]	[1, 0.7540246106828945, 0.24597538931710544]	
1	[1, 0.502865513273, 0.497134486727]	[0, 0.0, 0.0]	[1, 0.502865513273, 0.497134486727]	[1, 0.502865513273, 0.497134486727]	[1, 0.75402461061127191, 0.24597538938872809]	
2	[1, 0.502865422241, 0.497134577759]	[2, 0.0154, 0.9846]	[2, 0.26835502991965404, 0.731644970080346]	[2, 0.0154, 0.9846]	[2, 0.13577037674267656, 0.86422962325732344]	
2	[1, 0.502951431304, 0.497048568696]	[2, 0.0057, 0.9943]	[2, 0.26373317516315675, 0.7362668248368432]	[2, 0.0057, 0.9943]	[2, 0.13160788118793765, 0.86839211881206235]	
2	[1, 0.502865422241, 0.497134577759]	[2, 0.0154, 0.9846]	[2, 0.26835502991965404, 0.731644970080346]	[2, 0.0154, 0.9846]	[2, 0.13577037674267656, 0.86422962325732344]	
1	[1, 0.502865422241, 0.497134577759]	[0, 0.0, 0.0]	[1, 0.502865422241, 0.49713457775900005]	[1, 0.502865422241, 0.497134577759]	[1, 0.75402461068291116, 0.24597538931708887]	
1	[1, 0.5044595895, 0.4955404105]	[0, 0.0, 0.0]	[1, 0.5044595895, 0.4955404105]	[1, 0.5044595895, 0.4955404105]	[1, 0.75402335612278915, 0.24597664387721091]	
1	[1, 0.520930546696, 0.479069453304]	[0, 0.0, 0.0]	[1, 0.520930546696, 0.47906945330399997]	[1, 0.520930546696, 0.479069453304]	[1, 0.75401039373863343, 0.24598960626136659]	
1	[1, 0.519554723182, 0.480445276818]	[0, 0.0, 0.0]	[1, 0.519554723182, 0.480445276818]	[1, 0.519554723182, 0.480445276818]	[1, 0.75401147650770739, 0.24598852349229258]	
1	[1, 0.508376960881, 0.491623039119]	[0, 0.0, 0.0]	[1, 0.508376960881, 0.49162303911899996]	[1, 0.508376960881, 0.491623039119]	[1, 0.75402027325486198, 0.24597972674513802]	
1	[1, 0.666893352111, 0.333106647889]	[0, 0.0, 0.0]	[1, 0.666893352111, 0.333106647889]	[1, 0.666893352111, 0.333106647889]	[1, 0.75389550319767551, 0.24610449680232452]	
2	[1, 0.522140511727, 0.477859488273]	[2, 0.0154, 0.9846]	[2, 0.27835723851779465, 0.7216427614822054]	[2, 0.0154, 0.9846]	[2, 0.13576078058650953, 0.86423921941349047]	
2	[2, 0.48270072, 0.51729928]	[0, 0.0, 0.0]	[2, 0.48270072, 0.51729928]	[2, 0.48270072, 0.51729928]	[1, 0.70486276825108396, 0.2951372317489161]	
1	[1, 0.503823757188, 0.496176242812]	[0, 0.0, 0.0]	[1, 0.503823757188, 0.496176242812]	[1, 0.503823757188, 0.496176242812]	[1, 0.75402385650358816, 0.24597614349641184]	
2	[1, 0.502865422241, 0.497134577759]	[2, 0.0154, 0.9846]	[2, 0.26835502991965404, 0.731644970080346]	[2, 0.0154, 0.9846]	[2, 0.13577037674267656, 0.86422962325732344]	
2	[1, 0.50286569487, 0.49713430513]	[2, 0.0057, 0.9943]	[2, 0.2636886849055135, 0.7363113150944864]	[2, 0.0057, 0.9943]	[2, 0.13160792276395783, 0.86839207723604217]	
